Species,Region ID,Plot Name,Plot ID,Size,Class ID,Max Dia,Dia,Tree Num,Location,Measure Date,Measure Num,Status ID
PA,RO,Farm 8,R-8,870,F,15,9.1,12,N1W1,Aug 2024,15,1
CE,RO,Plot 4,R-4,1300,R,10,9,59,S4E3,Dec 2023,20,1
BN,PA,Miller Farm,PA-202,1200,C,60,0,28,N2W1,Oct 2024,42,0
RC,PA,Plot 201,PA-201,300,R,30,25,91,N1W2,Nov 2024,43,1
BN,MG,Verde,M-2000,300,C,60,45,59,N2E4,Oct 2024,45,1
BN,PA,Miller Farm,PA-202,1200,C,60,50,28,N2W1,Jun 2024,46,1
BN,PA,Plot 201,PA-201,300,R,60,55.5,36,N1W1,Aug 2024,54,1
PA,PA,Miller Farm,PA-203,1000,F,15,16,88,N1E5,Jul 2024,57,1
RU,PA,Miller Farm,PA-202,1200,C,8.5,7,91,N1W1,Aug 2024,77,1
RU,RO,Plot 4,R-4,1300,R,8.5,9.3,36,S4E2,Dec 2023,80,1
KA,MG,Rancho PC,M-1000,500,C,30,25,36,S2E2,Jun 2024,98,1
CE,PA,Plot 201,PA-201,300,R,10,9.1,36,N1W1,Aug 2024,66,1
PA,RO,Farm 8,R-8,870,E,15,9.2,12,N1W1,Sep 2024,25,1
BN,PA,Miller Farm,PA-203,1000,F,60,10,99,N1E5,Oct 2024,92,0
